rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
11,Villanova,BE,26-7,117.43448724177999,8,93.58739167725292,28,0.9315232549101952,11,26,7,16,4,16-4,0.727990233859298,0.6502712819967351,0.7512380631848918,0.727990233859298,0.6502712819967351,0.7512380631848918,0.6839120978649056,0.6607817713024409,108.03362096097969,97.38795215533473,108.03362096097969,97.38795215533473,119.22743433317703,95.36730124685951,124.16116074184691,102.22266660832705,0.9034282204814564,13,0.03570266867790006,1474.0,1294.0,1296.7625,1.1366769165517971,0.9978696947205058,0,0.8,7.4000421886479115,7,97,62.450356579430185
12,Purdue,B10,27-6,123.01004710925343,1,98.07247369984557,93,0.9312103557564623,12,27.51318183739746,6.486818162602539,14,6,14-6,0.698972743227958,0.47500703736134464,0.8144154871392839,0.7057016091700927,0.47500703736134464,0.8144154871392839,0.697148036615873,0.8545931606682333,108.1160099104783,99.07806227777309,108.52440357244033,99.0379841162427,121.04555951534005,97.44534340242622,131.94223513538785,106.19775768490251,0.9238752793040265,15,0.048216725945919525,1514.0,1414.0,1340.8249999999998,1.1291555572129102,1.0545746089161525,0,0.7,7.490464875882284,6,74,65.76332173489793
13,Auburn,SEC,27-5,112.5859150108152,24,89.79097899359081,9,0.930968930185681,13,27,5,15,3,15-3,0.7057841042770161,0.6238200481843593,0.7573258869606003,0.7057841042770161,0.6238200481843593,0.7573258869606003,0.7219877077823648,0.7921274189169684,106.9234629630834,97.69315348071528,106.9234629630834,97.69315348071528,112.75770801767598,89.39361107986524,114.74505454450481,92.80231267237195,0.9198841247303717,12,0.058349379471440255,1398.0,1231.0,1307.0625,1.0695739492181897,0.9418065318223114,0,0.8333333333333334,7.684414676110172,4,59,69.9118770376978
14,Iowa,B10,25-9,122.00139441709831,2,97.71540478575595,84,0.9277541852598522,14,25.48681816260254,9.513181837397461,12,8,12-8,0.6679233710664195,0.4133769613182339,0.7886692944136151,0.675445856343307,0.4133769613182339,0.7886692944136151,0.7132406926589503,0.8664847694637533,107.00800808034744,99.27388126201993,107.46520919546106,99.23955533166983,118.03767283522333,96.26861253268473,126.4716793369461,107.79659230653019,0.8626388002266834,13,-0.041256527518460984,1591.0,1454.0,1408.825,1.1293098858978226,1.0320657285326424,0,0.6,4.195521205781489,21,269,69.78522914776086
15,Texas,B12,21-11,111.41324393317652,32,91.24227364904795,13,0.9086175429774889,15,21,11,10,8,10-8,0.674055225654564,0.4054575768589273,0.8588659061996057,0.674055225654564,0.4054575768589273,0.8588659061996057,0.6666135258081498,0.8290328454871039,106.2457064947036,97.70666124996201,106.2457064947036,97.70666124996201,112.53540091764268,92.58175129908452,113.67598251024202,96.12698797348996,0.8730659450271222,16,-0.025757507383567413,1210.0,1176.0,1187.175,1.0192263145703035,0.9905868974666752,0,0.5555555555555556,2.964600818176831,28,231,62.949718984713826
16,Illinois,B10,22-9,113.55384044245992,20,93.26683906156691,24,0.9057953093302505,16,22,9,15,5,15-5,0.7263859138063489,0.5431809520470587,0.8103473964419807,0.7263859138063489,0.5431809520470587,0.8103473964419807,0.6858634862237978,0.8093643120368237,108.88737053462826,98.29488283405894,108.88737053462826,98.29488283405894,114.33021427150898,92.1851299841372,123.55014439740621,98.93262673602815,0.9279349358477129,13,0.012186635739090734,1485.0,1379.0,1366.7,1.086558864417941,1.0089997804931587,0,0.75,4.516213890999439,18,149,67.0226909861728
17,Saint Mary's,WCC,25-7,109.43293138929813,53,90.0758097685694,10,0.9036619941204093,17,25,7,12,3,12-3,0.625479411540767,0.5731822253661671,0.6447793821003547,0.625479411540767,0.5731822253661671,0.6447793821003547,0.7369591600302802,0.7981064494252158,107.00276051407516,99.19931953482289,107.00276051407516,99.19931953482289,109.90092748437816,88.89724926462861,106.91153715359069,93.36745459185362,0.8260341929558056,12,0.03870881648606217,1056.0,910.0,981.5875000000001,1.0758083207049804,0.9270696703044812,0,0.8,4.459690258151303,19,93,63.6379406374503
18,Memphis,Amer,21-9,111.5640067224675,31,92.8319280585105,23,0.8922363068764475,18,21.281402502692668,9.718597497307334,13,5,13-5,0.6727922965167833,0.6308993576766766,0.6868157714365304,0.6818905726957374,0.6308993576766766,0.6868157714365304,0.7399471871950025,0.7889459556688709,106.12269257584543,98.48024399060756,106.47174204409804,98.19668301992924,112.36848246379998,93.93890375455882,120.26954562319148,93.1600494115455,0.949659296107565,7,-0.04148402527058037,1353.0,1225.0,1267.4499999999996,1.0674977316659437,0.9665075545386409,0,0.7222222222222222,1.721643639123223,42,270,70.5855079200763
19,Arkansas,SEC,25-8,109.69562518439832,49,91.39542850195951,14,0.8907973176256656,19,25,8,13,5,13-5,0.6778799423983708,0.4949868779266364,0.789591467135551,0.6778799423983708,0.4949868779266364,0.789591467135551,0.7293208229435141,0.879279086388371,106.44921326012903,98.30709224601203,106.44921326012903,98.30709224601203,109.78568233097306,88.96473553209346,109.49577904050696,94.71068143408486,0.8413331465053163,13,0.04410646779625316,1341.0,1208.0,1297.1875,1.0337749939773548,0.9312454830161407,0,0.7222222222222222,4.5767208200218565,17,81,70.60796492238627
20,San Francisco,WCC,24-9,110.46528060089875,40,92.38621647035828,20,0.8864840671719098,20,24,9,10,6,10-6,0.6087022141670569,0.5555332846471452,0.6252180357811563,0.6087022141670569,0.5555332846471452,0.6252180357811563,0.7575446793423719,0.8322953996506924,105.78590400878183,98.99517077312498,105.78590400878183,98.99517077312498,112.28984628835188,93.10235672103427,120.01448565407874,99.66681013673261,0.8943973655210936,9,-0.011369117812577545,1258.0,1106.0,1149.925,1.093984390286323,0.9618018566428246,0,0.625,2.0604994460981794,35,203,68.74065841689864
21,Virginia Tech,ACC,23-12,114.80340078794104,17,96.08933406762682,59,0.8855774788875123,21,23,12,11,9,11-9,0.6530003655661755,0.5035369651288689,0.697477072093917,0.6530003655661755,0.5035369651288689,0.697477072093917,0.745471429493644,0.8077336507307252,106.54282571419228,99.75435878792773,106.54282571419228,99.75435878792773,113.77026509688697,99.78986902021218,118.14887640690571,98.57733907260926,0.8892100069988376,9,-0.06404765759116937,1361.0,1301.0,1235.8750000000002,1.1012440578537472,1.052695458683119,0,0.55,0.7939559360607464,49,304,62.89088258231712
22,Connecticut,BE,23-9,113.22878666983021,22,95.18216687267659,41,0.8804401698181519,22,23,9,13,6,13-6,0.6570511345118168,0.45543138222966556,0.7508265692093926,0.6570511345118168,0.45543138222966556,0.7508265692093926,0.728346648763491,0.8170004674662674,105.05688806771482,98.12931219628341,105.05688806771482,98.12931219628341,113.63995897833706,96.26465402986524,117.15611514313288,99.08599631800229,0.8728583271681104,12,0.023226466230671372,1384.0,1287.0,1276.4624999999999,1.084246501561934,1.0082552366403243,0,0.6842105263157895,3.2245138967274927,26,121,65.08875672585415
23,Indiana,B10,20-13,108.20520699792841,72,91.05163403486809,12,0.8792058786848768,23,20,13,9,11,9-11,0.6884995581952275,0.42382227043070325,0.7889082045840676,0.6884995581952275,0.42382227043070325,0.7889082045840676,0.7042249277227305,0.8771143547514827,108.50693152540032,99.2779657913479,108.50693152540032,99.2779657913479,107.3234758887324,91.44851642082878,108.97495338942832,94.28967142840932,0.8408523617260123,15,-0.0623464824898865,1344.0,1343.0,1333.7250000000001,1.0077039869538322,1.0069542072016344,0,0.45,0.477954543927145,55,301,67.02886795060375
